Name,Rating,Summary,Verified,Review
Amazon Customer,5.0 out of 5 stars,"Great lightweight heater,with plenty of heat.",Verified Purchase,"When I first saw it, I was disappointed. It was not as tall as I expected. But when I plugged it in, I was no longer disappointed.  Good heat and a good blower."
Yifan Wang,1.0 out of 5 stars,Design flaw and bad quality,Verified Purchase," Conclusion: A good looking, space-saving product but with major design flaw and messy wiring.As you can see from the video, the heater won’t turn on unless I press it down, due to the failure design- tip over protection. It works well on flat surface, but on carpet, due to its lightweight, the body of heater won’t give enough pressure to activate switch under the base. Also, for a product of 70 dollars, I really didn’t expect such messy wiring inside the body. You can directly see the motor, and wires crossing each other, making me question its quality.For the heating part, it is acceptable. It also has cooling fan function, which seems to be redundant. What customers need is heating and company should focus on doing this well instead of adding unnecessary features and ignoring quality control."
Linda Applegate,5.0 out of 5 stars,Quiet enough,Verified Purchase,"I pretty like this heater, far away better than the old one I got from the dollar general last year. Those two heaters are not a big difference between Price, but at the quality, this portable heater is quieter than the older one. Also, I like the free choice of heating level design. It is perfectly excellent. Before I make this purchase, I have stopped by a couple of local stores. They're not too many options and product detail. by the way, I really appreciate Amazon. It gave me more choices and provide better products for me."
Ryan,3.0 out of 5 stars,Works. But with a caveat.,Verified Purchase,"I love the oscillation, and the heat output is decent. The thermostat is nice too. Also quiet and at a decent price.BUT, it loses 2 stars because it can not be used on any surface that is not EXACTLY level. We are in an older house with some rooms that don't have a perfectly level floor, or sometimes even the floor material itself is not flat. The safety feature it has whereas it will shutoff if tipped over is great, but it's VERY sensitive. Anything past a degree of tilt it shuts off. We ended up having to use coaster(s) and miscellaneous thin objects to lift one side of the heater a quarter inch to a half inch just to get it to turn on; and even then it sometimes shutoff randomly."
Raymond Jann,5.0 out of 5 stars,Bedroom,Verified Purchase,"The fan is quiet, controls are easy to use except I wish they were located higher on the fan.  I would purchase again and recommend"
Mums,5.0 out of 5 stars,Excellent Space Heater for a Small Space or a Cold Corner,Verified Purchase,"This heater works very well to provide heat in small spaces or in cold corners, which is where I have mine.  There is a safety feature which is a button on the bottom so that the hear automatically turns off if it should happen to tip over. There is also an oscillating switch if you need or want it.Just one thing, though.  The button didn't work on my carpet, so I got a tempered glass cutting board (This one: https://www.amazon.com/gp/product/B003I24FJY/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1) to place underneath it and now it works very well."
Kimberly,1.0 out of 5 stars,Works when it wants to.,Verified Purchase,Out the box It didn't work when I first plugged up but decided to wait and try again later that day and it worked but close to an hour later it was off and wouldn't come on until next day and it lasted thoughout the day and night no problem until next day it shut off and wouldn't come on.. it only works when it wants to. Already trashed the box so return isn't an option. The heater heats up good and warms up the room when it actually does decide to work.
Lori Gulley,5.0 out of 5 stars,Love this fan!,Verified Purchase,"Living in Southern Florida and walking a dog 3-4 times a day, this fan is awesome!  Coming in and being able to sit down and cool off quickly is a blessing!  This fan is quiet and efficient.  I highly recommend it to any woman who is suffering from hot flashes! It's like having your own personal air conditioner."
Theresa A Gregg,1.0 out of 5 stars,Bad tower Heater.,Verified Purchase,"Have Heat up to high, doesn't work very good have to be 1 ft distance to feel any heat. My bedroom is still freezing. I have given it a hour to Heat my bedroom area, no good. I'm going bad to my old Heater, it gets more area warm. I'm very disappointed with this tower Heater. The top knob not sure which one is High Temperature. A little heat comes out a small opening about 8 inches so it's not a true tower Heater. I'm very disappointed! This is a waste of money!"
DOC,5.0 out of 5 stars,Works Great!!,Verified Purchase,"For the money, this little heater gets the job done.. Since our gym went into lockdown, we decided to turn our garage into a gym.. As it turns out, its pretty chilly out there in the morning and this little heater totally takes the edge off. It is in a 10' x 20' single car garage and has no problem getting the temp up to about 70 degrees (F).. For perspective, it lives in the Pacific Northwest with an insulated garage and does very well.. Not sure how well it would work in colder climates, but out here it does just fine.."
MM,4.0 out of 5 stars,Too many switches,Verified Purchase,"The space heater works well, lots of heat. Two small things disappointed us.First the anti-tipping switch on the bottom is not disengaged when standing on our carper, we had to put a book underneath the heater so it would turn on. Second the oscillating feature operates on its own switch independent of the heating switch, so even when the heater is turned off you have to turn the oscillating switch of as well.The unit looks nice and works well with those two exceptions."
BBQ'r,5.0 out of 5 stars,I like it.,Verified Purchase,"Very quite compared to the small cube type. Being tall it warms my sitting area more evenly vs the shorter type. It has a thermostat type function where you turn the knob to a certain point. Once it hits that temperature in the room it is supposed to cycle off then back on. I find it useless because it is a guess as to what temperature you are setting, more trial and error. It also has a switch on the back bottom to allow it to oscillate back and forth. This works independent of the on-off temperature switch so you must turn both off when done otherwise it will swing back and forth until you do. Found this out the hard way.It is more expensive then others but I did like it enough to buy two more for other office staff. One of those came in with a dead fan, turned it on and almost immediately smelt the plastic burning. That one needs to go back."
Mansur,1.0 out of 5 stars,I don't recommend this heater... Better off choosing a different one!,Verified Purchase,"I was looking for a decent heater that would heat my home office and unfortunately this model is not powerful enough... I don't feel the heat unless I am sitting very close to it and even then it does not offer very many settings.. Also be wary that the oscillating function is completely separate switch that you have to remember to turn off! How inconvenient, save yourself the time and choose a different model  :-/"
Gordon Kindlmann,2.0 out of 5 stars,Will oscillate even when not heating!,Verified Purchase,"I have never seen an oscillating space heater like this: there is a switch to turn on/off the back-and-forth oscillating motion, but this is completely unrelated to whether the heater is heating.  After it has warmed an area, it will just sit there, whirring away as it waves back and forth, but not heating.  It is kind of cute but mostly pathetic and also noisier than it needs to be.  Also, the hysteresis loop for the heating is must be much wider than other space heaters I've used; it feels like maybe 10 or 15 degrees F: it will get really cold before it starts heating again, and will get really hot before it decides to turn off.  Would not recommend."
Lavada Smith,5.0 out of 5 stars,"Quiet running, easy to see controls",Verified Purchase,"This is a nice heater. Small, blends into any decor. It runs quiet, throws its heat, and best of all for me, the controls are very large, on the top of the machine, and very easy to see and use. Turn the power on in the back, select the heat setting and you are done. Who ever designed the heater and wrote the instructions did a very good job. I am older and the light weight is nice for me to lift. All in All, a very nice product."
Arielle Mangabat,5.0 out of 5 stars,Great Little Heater,Verified Purchase,"First of all, I’m surprised by the range of this little guy. Usually when I have heat lamps, they stay really hot in one spot... and then the rest of the room is freezing.Our apartment is really cold, and we don’t have a heater that works. This heater is great for our bedroom, and it’s light weight enough so I can carry it with me to different parts of the apartment easily. It looks very sleek too.Another important factor is that it will immediately shut off if it falls over. I have cats so... yeah.Overall, I’m happy with what I spent on it. Seems solid but don’t expect it to heat up an entire house!"
iankur,2.0 out of 5 stars,Terrible for the price,Verified Purchase,The thing is a piece of garbage. The safety switch  at the bottom is too hard so it doesn’t work on carpeted rooms. The temperature control is terrible- the room varies in temperature by up to 6-7deg Fahrenheit. Even the temperature at which the heater turns on is inconsistent (with the control knob in the same place). Only thing going for it is it’s quiet.
BluBird,5.0 out of 5 stars,"Excellent Heater, highly recommend.",Verified Purchase,"Purchased the Space Heater for Office - 1500W Electric Ceramic Heater Fan Tower January 25 and timely delivery January 27. Have been using every day since, no issues with the lengthy time I have it powered on. I love the color combination Orange and Black it definitely is UNIQUE. It rotates, shuts off when tilted as stated and heats up the room in under a minute. Pleased with my purchase and would highly recommend."
Connie,5.0 out of 5 stars,"Quiet, efficient, and slim design",Verified Purchase,"This fan is aesthetically pleasing, quiet, slim, and works great. It only makes noise when the oscillation is on and circulates air through my master bedroom nicely. Not the most powerful fan I’ve had but I’m very happy with this purchase."
Aniloly Jimenez,5.0 out of 5 stars,Pretty good fan,Verified Purchase,Very good fan. Blows air and cools down my bedroom
Alexis Moore,5.0 out of 5 stars,Great!,Verified Purchase,Love this. I’m very hot natured but everyone else in the house gets cold so it’s perfect for me and cools off a big space very quickly.
Maria,1.0 out of 5 stars,Merchandised was totally damaged in many pieces n was scratched like it was not new,Verified Purchase,Merchandise was cracked and damaged and it looked used had scratches and came in more pieces then it suppose to it was a disaster but it was no problem to return and didn’t take to long to get reimbursed didn’t try to prefer another very bad experience and was soo disappointed when I received the fan
J. Hoyle,4.0 out of 5 stars,Effective little heater - but beware how hot the casing gets!,Verified Purchase,"Effective heater.  I like that it has a safety turn-off in case the tower is knocked over. However, when I grabbed the heater to move it after it had been running for a bit, the casing was incredibly hot to the touch!  I would buy it again, even knowing this, but it would be useful that there was a warning sticker on the tower itself."
Ginger I. Smith,5.0 out of 5 stars,Great small powerful heater.,Verified Purchase,"I received this heater a few day ago and it has lived up to all expectations. I read reviews and researched lots of heaters before deciding on this one. It is quiet, puts out lots of heat, it actually is more than I expected. It is a small powerful unit. As stated if you have shag carpeting you have to put something flat for it to set on so the tip over function works well. You will not go wrong with this heater."
Mari T. Zarpour,1.0 out of 5 stars,DO NOT BUY-Broke after only a few times of use!,Verified Purchase,"I purchased this product for my elderly father who is always complaining about how cold he is. He only used it a few times before he left my house. He had indicated that it wasn't working right but I thought it was just him. I went to use it again just a bit ago now that the weather has turned colder, and now it doesn't turn on at all. I guess it's too late for a refund. This is a cheaply made product."
Becky C,5.0 out of 5 stars,Would recommend,Verified Purchase,I’ve had a couple different space heaters before and this is by far the best one so far at its price point. I appreciate the oscillation and it keeps the basement during the middle of winter nice and warm. The different heat settings are nice as well if you want less heat too.
Amazon Customer,2.0 out of 5 stars,Makes an annoying noise,Verified Purchase,"Honestly, not the best heater I’ve used. The reason being that when I turn on the swivel, it makes this god awful grinding noise every time it changes direction which is extremely annoying to listen to. Does it put out heat? Yes. I’m going to get one with a remote next time that doesn’t make an annoying noise when I’m trying to sleep or just be alive in general with this thing on."
me,1.0 out of 5 stars,Way too noisy,Verified Purchase,"Noisy!  So noisy. If not for the noise, it would be a great small heater.  The heat seems to work fine so I give it credit for that, but the noise it makes is so darn annoying. I would say it isn’t good for use anywhere but the bathroom because of that."
Patrick Henry,5.0 out of 5 stars,Super quiet fan,Verified Purchase,Love this fan! I can hear an ant walk across the room and be woken up. This is super quiet and just the right amount of airflow to keep me comfortable at night. Highly recommend it to fellow light sleepers who also need air circulation.
Jacster,1.0 out of 5 stars,Quit working after 2 months,Verified Purchase,"I wrote a complaint, was told I would be contacted and my money refunded and nothing happened. Amazon dropped the ball.  It was very warm and worked fine, for the 2 months that it worked. Then nothing...just stopped working. For the price, it should have lasted a few seasons. VERY disappointed in Amazon too."
jenny,5.0 out of 5 stars,It works,Verified Purchase,"I received my heater which will heat a room in my garage that I have turned into my pottery studio.  When I turned it on, I was unsure if it would heat the whole room. Today I went out to see how it was doing and was amazed at how warm the room was. I had to turn the temp down. Temperature here during the night was 28 degrees.  Unit is light and easy to use. Will have to wait to see how much it adds on to my electric bill. Great product."
Amazon Customer,4.0 out of 5 stars,Works fast!,Verified Purchase,"The heat output on this heater is amazing! For such a small mechanism, it delivers a vast amount of heat in a short time. I’ve purchased two other types of heaters prior to this one that are larger and claim to be efficient for larger spaces but they don’t compare to this one by far."
Ed,5.0 out of 5 stars,Good little heater,Verified Purchase,"This heater packs a punch. I wish it had a remote control. The safety switch at the bottom could be designed better, because it does not work well on carpet. Other than that I recommend this heater to heat up the small area. Will see how this heater performs the next few months and Into next year."
MJ3543,1.0 out of 5 stars,Not worth the cost,Verified Purchase,"Used this for the last month and I would have to say I am not impressed for the cost that was paid. The heat out put is warm, but the fan limits how far the heat can travel. Its basically a radiant heater. The plug also gets very warm if its used for a few hours."
Justin A Bame,1.0 out of 5 stars,Not worth the money,Verified Purchase,I should of believed the reviews. Fan has tape on the back to seal a split in the case fresh out of the box. High is incredibly disappointing. Sure it’s not a top price fan but for the money not worth it. Best part of the fan is the annoying blue lights shut off. But the most annoying thing is the fan changes speed when I turn the tv up! Pay more and buy a different fan!
Love,5.0 out of 5 stars,Amazing buy little but powerful,Verified Purchase,My room and my master bathroom is really big it’s a good size room and this heater heats up my room and my master bathroom in about 10 minutes I’m anemic and I’m always cold and my children are always hot so I bought this thinking I’d give it a try I really didn’t think it was going to work as great as it does if you’re thinking about getting one it’s well worth the money
ThrifterGifter,3.0 out of 5 stars,Can find better for cheaper!,Verified Purchase,"It's a nice slim designed fan that doesn't take up lots of space, but for the price vs. the quality....I DO NOT recommend buying when you could get a cheaper fan, that's nicer for the price!"
Lena L.,4.0 out of 5 stars,Confusing features but keeps a small bathroom quite warm,Verified Purchase,Temperature control is a bit confusing and it's a knob at the top. The overal appliance is an energy vampire and causes short circuits so this is one of the devices you gotta not run with too many  devices all at once.
Carrie Carlson,3.0 out of 5 stars,Not liking how it turns off and on and the high heat,Verified Purchase,I had trouble getting it on at first but then I gave it a gentle shake. I do have carpet so that might have been the reason. My other complaint is if you move it over a little I have to turn it back on. I am also having trouble with it running at the higher temperature but if you want a lot of warmth you will like this heater.
J. Stone,4.0 out of 5 stars,"Basic, well functioning space heater",Verified Purchase,"I wish this space heater got hotter. I don't understand entirely what the pictures on it represent but it works. The safety feature of it turning off when you pick it up is likely very valuable if it keeps working. Overall it works fine, but I just wish it were hotter."
Amazon Customer,1.0 out of 5 stars,Horrible item,Verified Purchase,I am irate. The whole point of paying for a refurbished item is to save money. Instead I wasted my time on a defective product when I could’ve just paid full price for an item that does work!!!!!
S. Fisher,5.0 out of 5 stars,Great safety feature,Verified Purchase,I bought this to keep my greenhouse warm. I really like the safety feature that shuts it off if it leans or tips. The oscillating feature is great too. Nice steady heat and low energy use.
Dgallo,4.0 out of 5 stars,Good flow of heat from a small heater.,Verified Purchase,I bought this heater to accommodate my 96 year old mother in law. Our family room is a few degrees cooler in the winter than the rest of the house. This heater heats the room which is approx. 12' x 26' very well. It's more powerful than I expected. My mother in law loves it. The only issue I have with this heater is that you do not know what the temperature is when controlling the dial to give more or less heating time.  I like that it does shut off periodically when it reaches a certain temperature.
smokyhillcandles,3.0 out of 5 stars,Would Not Turn On,Verified Purchase,Cannot be used on a normal 15 amp household plug.  I plugged into 20 amp kitchen plug and it worked good but that doesn't help with my home office.  Had to return it.
Kerstin B.,5.0 out of 5 stars,Great little heater!,Verified Purchase,"Love this heater!!I do newborn photo sessions at my house in my living room, which I converted into a studio. The problem is that it has very high ceilings, so that room hardly ever gets warm. Obviously with newborns I need the studio to be warm, so that's where this little heater does an amazing job. It does exactly what I need it to do. I also love that it's pretty small. My old one was kinda bulky and took up a lot more room. Definitely a great buy!"
Conner McPhee,5.0 out of 5 stars,"Efficient Little Heater, gets the job done",Verified Purchase,"This product was actually much better than my expectations, this little heater stands no taller than a desktop PC and is able to warm a pretty good size area. recently I bought it to heat up a roommates room in the winter, as our heating system in our house doesn't work well.From what I have felt and heard it was beyond expectations, the oscillating feature is really nice for big areas as well.Probably looking to get another one for my bedroom as well."
Catechist,1.0 out of 5 stars,This heater sucks,Verified Purchase,It didn't even make it a month. Im returning this feeling very disappointed. If you pay $75 for a heater your expecting a heater thats good at heating and last more then a month. Wouldn't recommend to anyone.
Amazon Customer,2.0 out of 5 stars,Junk in 3 and 6 months,Verified Purchase,Bought two of these. First one stopped working in 3 months. Second one began melting itself and stopped working in six months. Do not buy
LilysLovelyLashes,3.0 out of 5 stars,Okay heater,Verified Purchase,I like this heater but I would have liked it to have a timer. The heater does give you shocks when you plug it out as well in which it’s scary
Jennifer J Price,4.0 out of 5 stars,Good overall!,Verified Purchase,"I like this heater, I thought it would taller but it’s my fault for not looking at the measurements of the heater. Also it has to be on a solid surface to work, I tried placing it on my carpet and I thought it wasn’t working but as soon as I placed it on the wood it worked. So now I just placed a book under it so I can have it in my bedroom. Overall works fine and is not very loud, sounds like white noise in the background."
Rapavt,3.0 out of 5 stars,Doesn’t keep our cold dining room warm enough,Verified Purchase,I was hoping this little heater would have a bigger heat punch. It puts out heat but not enough for my cold dining room.
Amazon Customer,5.0 out of 5 stars,Happy customer,Verified Purchase,"Absolutely loved this heater. Doesn’t take up much space. No sound and it really works. I bought it for my parents. They have a small studio with no heater. Their studio was very cold in the winter and they needed to layer up. Now with this heater, their studio is nice and warm...no need to layer up anymore. It heats up very well. I highly recommend it."
Shannon,5.0 out of 5 stars,Small but mighty,Verified Purchase,"This small streamlined heater is a great value.  We purchased this for a large reception area in an office space and the heat output is perfect.  For the price, this is a real deal.  I like that the size does not make it an eyesore."
CRS,1.0 out of 5 stars,Heater received didn’t work,Verified Purchase,This product when received just didn’t work properly for me. I had to return the item and ask for a refund. Your outcome may be different but I decided to go with another heater.
Christopher Zeilman,5.0 out of 5 stars,nice and hot for a cold room,Verified Purchase,My grandmother loved this heater it made her feel warm even though we keep the thermostat way down in combination with a magnetic plate on the vent she was nice an toasty
scootz,4.0 out of 5 stars,heater,Verified Purchase,"good source of heat.a personal note and oversight on my part.  i had looked at so many and really wanted one with a remote.  this one doesn't have one.  took for granted it did.  however as for performance, it is a good unit."
Leoan,5.0 out of 5 stars,Very good,Verified Purchase,"A very good heating machine, only after a while, the temperature of the whole room will rise. There are three temperature adjustments for large, medium and small. It does not take up space in the corner of the room. It is small in size but fast in heating. I really like this heating.  machine,"
Andromeda,5.0 out of 5 stars,Ceramic Heater Fan Tower,Verified Purchase,"I purchased 1500W Electric Ceramic Heater Fan Tower Oscillating Portable Heater, Package was great, Nice Looking, easy on off setting, easy Temp selection, Oscillating very smoothly, Extremely quite, I love it.  Regards."
Parbhat Kapoor,5.0 out of 5 stars,Great Quality Product!,Verified Purchase,This is a great quality product. It certainly keeps our 400SQ Ft room warm! Can be moved easily. Very easy to operate.High 5 for this product!
melissa,4.0 out of 5 stars,No blades to dust off and unique style,Verified Purchase,"Unique and quiet but on high speed the air flow is steady and intermittently blows harder??  Also strangely, the tv remote turns it on??"
mary dunn,1.0 out of 5 stars,Do not buy.,Verified Purchase,Worked for a few hours and quit.  Tried different sockets etc.  never worked again
Mr and Mrs Tran,3.0 out of 5 stars,Doesn’t work on carpet,Verified Purchase,Its not as warm as I wanted. I like the feature of not working if falling over but at the same time don’t like if because it won’t work on carpet.
G,5.0 out of 5 stars,Circulates heat throughout the room.,Verified Purchase,Good value for the price. Safety feature kicks in any time the heater is touched which is a plus. Would buy this item again.
Josue,4.0 out of 5 stars,Overall worth it.,Verified Purchase,"This little heater packs a fire punch.Heats up within seconds.Ive read all the reviews on how quiet it is, but in my opinion it's rather loud ay least if you're trying fall asleep and it's on. I think a timer would have been a great feature to this heater aswell."
Myrna Gillespie,1.0 out of 5 stars,Poor product for money,Verified Purchase,"The heater is very small and although it says it has a thermostat there is no way to set the temp. It is very lightweight and feels very cheap. Maybe a $20  value, definitely NOT $70. I want to return the heater."
Suz Ryan,5.0 out of 5 stars,Works great!,Verified Purchase,We bought this for a larger space in our basement because the heat has trouble getting down there and it works great! It warms the entire living room area and is also super easy to move from room to room. I love that is oscillates and has a variety of settings not just on or off.
Amazon Customer,5.0 out of 5 stars,Quit Working,Verified Purchase,Purchased in January 2020; Quit working 10/20/2020
Heather Phillips,4.0 out of 5 stars,Great fan - keeps the air moving,Verified Purchase,I purchased this fan for the attic portion of our house that does not get great air circulation in the summer.  It has really helped in my office space.  I am able to work from home more comfortably and the fan is quiet enough that I don't need to turn it off during important conference calls.  It is sleek and stylish as well.  I have really enjoyed this purchase.
Catherine Gruber,5.0 out of 5 stars,Heats well,Verified Purchase,Heats well. The temperature control knob is a little hard to handle. It does oscillate which is nice and is well constructed.
Leah Mccabe,2.0 out of 5 stars,smaller than expected,Verified Purchase,This didn't do very well in our insulated porch but we love our smaller heaters just fine so we will stick with those.
mary dunn,1.0 out of 5 stars,Puts Out Great Heat,Verified Purchase,"This light weight, compact, easy to use space heater is just what I wanted!  Only drawback is the carrying handle is not really deep enough to allow for easy pick up and carrying."
